submission_id,student_full_name,student_net_id,c1,c2,c3,c_sum,pd_1_songs,pd_2_plays,pd_3_thumbs,pd_4_skips,pd_5_listeners,pd_6_accounts,pd_sum,pd_max,da_1a,da_1b,da_2a,da_2b,da_3a,da_3b,da_4a,da_4b,da_5a,da_5b,da_5c,da_6a,da_6b,da_6c,da_7a,da_7b,da_7c,da_sum,da_max,first_section_pct,second_section_pct,third_section_pct,first_two_section_pct,final_three_section_pct,sql_feedback
31,#REDACTED,#REDACTED,1,1,1,40.00%,1.1,1,1.3,1,1,1.1,0.33,0.30,1,1,1,1,0.6,0.5,0.6,0.8,0.6,0.8,0.7,0.5,0.8,0.7,0.5,0.5,0.7,0.3405,0.3,1.00,1.00,1.00,1.00,1.00,practice join syntax;
7,#REDACTED,#REDACTED,1,1,1,40.00%,1,1.1,1,1,0.8,1,0.30,0.30,1,0.6,0.7,0.7,0.6,0.6,0.8,0.8,0.6,0.5,0.4,1,0.4,0.3,0.6,0.7,0.4,0.297,0.297,1.00,0.99,0.99,1.00,0.99,practice selections; practice join syntax - use the ON keyword to introduce the join condition
11,#REDACTED,#REDACTED,0.9,1,1,38.40%,1.1,1,1,1,1,1.1,0.31,0.30,1,0.8,0.9,0.9,0.4,0.5,1,0.5,1,0.6,0.6,0.5,0.6,0.7,0.3,0.2,0.7,0.294,0.294,0.96,1.00,0.98,0.98,0.98,practice ordering and selections
6,#REDACTED,#REDACTED,1,1,1,40.00%,1,1,1,1,1,0.5,0.28,0.28,1,1,0.7,0.7,0.7,0.6,0.9,0.9,1,1,0.8,0.9,0.5,0.6,0.7,0.7,0.4,0.3675,0.3,1.00,0.93,1.00,0.97,0.98,practice counting distinct - move the DISTINCT keyword into the SELECT clause; practice limiting
16,#REDACTED,#REDACTED,1,1,0.8,37.60%,1,0.8,1.3,1,1.1,1,0.31,0.30,1,0.8,0.5,0.5,0.3,0.5,0.9,0.5,1,1,1,1,0.3,0.3,0.3,0.4,0.7,0.303,0.3,0.94,1.00,1.00,0.97,0.98,practice grouping and ordering
32,#REDACTED,#REDACTED,1,1,1,40.00%,1,0.9,1,1,1,0.5,0.27,0.27,1,0.5,0.8,0.8,1,0.6,0.9,0.6,0.6,0.6,0,0.5,0.5,0.6,0.6,0.6,0.6,0.291,0.291,1.00,0.91,0.97,0.96,0.96,practice selections
3,#REDACTED,#REDACTED,1,1,1,40.00%,1.3,1,1.2,1,1,0.6,0.31,0.30,1,0.5,0.5,0.5,0.5,0.3,0.9,0.4,0.9,0.9,0.8,0.3,0.3,0.3,0.6,0.6,0.4,0.2595,0.2595,1.00,1.00,0.87,1.00,0.96,practice grouping and aggregating and selecting and limiting; know when to use outer joins
34,#REDACTED,#REDACTED,1,1,0.7,36.40%,1,0.9,1,1,1,1,0.29,0.29,1,1,0.3,1,1,0.6,1,0.6,0.8,0.8,0.8,0.3,0.5,0.5,0.3,0.5,0.4,0.3105,0.3,0.91,0.98,1.00,0.94,0.96,practice selections and grouping
29,#REDACTED,#REDACTED,1,1,1,40.00%,1,1,1,1,1,0.5,0.28,0.28,1,0.8,0.7,0.7,0.6,0.4,0.8,0.4,1,0.6,0.6,0.4,0.9,0.6,0.3,0.2,0.4,0.279,0.279,1.00,0.93,0.93,0.97,0.96,"study query structure and composition; learn when to use outer joins; look for a single-query answer before turning to sub-queries; if you are going to use a subquery, use the proper structure and parenthesis placement;"
25,#REDACTED,#REDACTED,1,1,1,40.00%,1,1,1,1,1,1,0.30,0.30,0.9,0.5,0.9,0.9,0.6,0.4,0.8,0.5,0.6,0.6,0.6,0.4,0.3,0.2,0.2,0.4,0.6,0.2445,0.2445,1.00,1.00,0.82,1.00,0.94,"use one semicolon per query, at the end, if using one at all; practice aggregations; study outer joins;"
