"buy_id","buy_start","buyer_name","buyer_party","buyer_type","race_name","race_type","market","state"
4078,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","OREGON"
4078,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","WASHINGTON"
1501155,"2012-01-11","Adam Kinzinger for Congress","REP","Candidate","House IL16","US HOUSE","Rockford, IL","ILLINOIS"
1501148,"2012-01-04","Adam Kinzinger for Congress","REP","Candidate","House IL16","US HOUSE","Rockford, IL","ILLINOIS"
1501156,"2012-01-11","Adam Kinzinger for Congress","REP","Candidate","House IL16","US HOUSE","Rockford, IL","ILLINOIS"
4623,"2012-01-12","Don Manzullo for Congress","REP","Candidate","House IL16","US HOUSE","Rockford, IL","ILLINOIS"
1501149,"2012-01-04","Adam Kinzinger for Congress","REP","Candidate","House IL16","US HOUSE","Rockford, IL","ILLINOIS"
2490,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI06","US HOUSE","Grand Rapids-Kalamazoo, MI","MICHIGAN"
1501151,"2012-01-04","Adam Kinzinger for Congress","REP","Candidate","House IL16","US HOUSE","Rockford, IL","ILLINOIS"
1501158,"2012-01-11","Adam Kinzinger for Congress","REP","Candidate","House IL16","US HOUSE","Rockford, IL","ILLINOIS"
1501157,"2012-01-11","Adam Kinzinger for Congress","REP","Candidate","House IL16","US HOUSE","Rockford, IL","ILLINOIS"
1501150,"2012-01-04","Adam Kinzinger for Congress","REP","Candidate","House IL16","US HOUSE","Rockford, IL","ILLINOIS"
4635,"2012-01-12","Don Manzullo for Congress","REP","Candidate","House IL16","US HOUSE","Rockford, IL","ILLINOIS"
4159,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","OREGON"
4159,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","WASHINGTON"
4087,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","OREGON"
4087,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","WASHINGTON"
4211,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","OREGON"
4211,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","WASHINGTON"
4150,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","OREGON"
4150,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","WASHINGTON"
284,"2012-01-07","PCCC","DEM","Third Party","House NH02","US HOUSE","Boston, MA","VERMONT"
284,"2012-01-07","PCCC","DEM","Third Party","House NH02","US HOUSE","Boston, MA","MASSACHUSETTS"
284,"2012-01-07","PCCC","DEM","Third Party","House NH02","US HOUSE","Boston, MA","NEW HAMPSHIRE"
10381,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","OREGON"
10381,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR01","US HOUSE","Portland, OR","WASHINGTON"
4077,"2012-01-25","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4077,"2012-01-25","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4088,"2012-01-25","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4088,"2012-01-25","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4076,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4076,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4093,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4093,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4144,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4144,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
15250,"2012-01-27","Spencer Bachus for Congress","REP","Candidate","House AL6","US HOUSE","Birmingham, AL","ALABAMA"
4089,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4089,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4206,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4206,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4166,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4166,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10386,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
10386,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
15253,"2012-01-27","Spencer Bachus for Congress","REP","Candidate","House AL6","US HOUSE","Birmingham, AL","ALABAMA"
4096,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4096,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
