,,.7 for one or more missing photos or contact infos; else 0.5 for no photos or contact info,1 for a response
student_id,industry_insights,evidence,meetups_grade
26,1,1,1
15,1,1,1
2,1,1,1
30,1,1,1
1,1,1,1
17,1,1,1
29,1,1,1
23,1,1,1
4,1,1,1
21,1,0.7,0.85
16,1,0.7,0.85
7,1,0.7,0.85
12,1,0.7,0.85
13,1,0.7,0.85
9,1,0.7,0.85
27,1,0.5,0.75
24,1,0.5,0.75
20,1,0.5,0.75
22,1,0.5,0.75
36,1,0.5,0.75
18,1,0.5,0.75
11,1,0.5,0.75
6,1,0.5,0.75
25,0,0,0
19,0,0,0
34,0,0,0
10,0,0,0
35,0,0,0
3,0,0,0
31,0,0,0
28,0,0,0
32,0,0,0
5,0,0,0
8,0,0,0
14,0,0,0
33,0,0,0
