attribute_name_original,attribute_name,attribute_datatype,attribute_description,attribute_privacy_concern
N/A,response_id,integer,an auto-incremented integer based on when the response was submitted,N/A
Timestamp,created_at,datetime,the time the response was submitted,N/A
Timestamp,created_at_formatted,datetime,the time the response was submitted (re-formatted to YYYY-MM-DD HH:MM:SS to improve usability),N/A
GW Email Address,email,string,the student's gw-issued email address,Personnally-Identifiable Information (PII)
GitHub Username,github_username,string,the student's github username,Possible PII
First Name,first_name,string,the student's first name,Personnally-Identifiable Information (PII)
Last Name,last_name,string,the student's last name,Personnally-Identifiable Information (PII)
Nickname (if applicable),nickname,string,the student's nickname,Personnally-Identifiable Information (PII)
Graduation Class,graduation_class,string,the student's graduation class,Possible PII
Hometown,hometown,string,the student's hometown,Possible PII
Major(s) and Concentration(s) of Study,majors,string,the student's academic major or concentraion,Possible PII
Class Scheduling,scheduling,string,whether the student is taking any other classes scheduled either before and/or after this class,N/A
Learning Objectives,learning_objectives,text,the student's self-identified learning objectives,Private Nature
Learning Objectives,learning_objective_data,boolean,original text response read by professor and identified as student interest in learning about data or databases,N/A
Learning Objectives,learning_objective_career,boolean,original text response read by professor and identified as student interest in learning skills and concepts that will help them professionally in their careers,N/A
Learning Objectives,learning_objective_grad,boolean,original text response read by professor and identified as student academic/graduation requirement,N/A
Work Experience,work_experience,text,the student's self-identified work experience,Private Nature
Work Experience,work_experience_business,boolean,"original text response interpreted by professor to include professional experience in the areas of business, startups, science, technology, marketing, or finance",N/A
Work Experience,work_experience_tech,boolean,"original text response interpreted by professor to include professional experience in the areas of technology, engineering, systems, or data",N/A
Work Experience,work_experience_public,boolean,"original text response interpreted by professor to include professional experience in the areas of civics, public sector, policy, politics, law, education, or research",N/A
Work Experience,work_experience_other,boolean,"original text response interpreted by professor to include professional experience in art, sports, physical labor, administrative, retail, or sales",N/A
Work Experience,work_experience_social_media,boolean,original text response interpreted by professor to include professional experience in social media communications,N/A
Interests and Passions,interests,text,the student's self-identified interests and passions,Private Nature
Interests and Passions,interest_adventure,boolean,"original text response interpreted by professor to indicate student interest in sports, adventure, outdoor activity, exploring, or travel",N/A
Interests and Passions,interest_arts,boolean,"original text response interpreted by professor to indicate student interest in art, music, movies, writing, reading, entertainment, or food",N/A
