,methodology1,methodology2,methodology2,methodology2,methodology2,
criteria:,,1 for summary of analytical findings at the top; else 0.7 for summary at the bottom;  else 0.7 for factual findings presented but not summarized; else 0.7 for want of thoroughness; else 0.5 for dataset description or other summary;,1 for description of manual processes as well as accompanying error-free SQL which directly produces justification for factual findings; else 0.8 for errors; else 0.8 for minor want of additional link between SQL results and factual findings; else 0.7 for repeatable queries but no factual findings; else 0.5 for gaps between SQL results and factual findings; else 0.5 for major errors; else 0.5 for unidentified dataset,"1 for all clauses (SELECT, FROM, WHERE, GROUP BY, ORDER BY, and either LIMIT or TOP); else 0.9 for missing a TOP or LIMIT; else 0.8 for missing a GROUP BY or ORDER BY; else 0.6 for missing two of: GROUP BY, TOP/LIMIT, ORDER BY); else 0.5 for missing GROUP BY, ORDER BY, and TOP/LIMIT",,
student_id,methodology1,exec_summary,repeatable,all_clauses,methodology2_grade,higher_of_two_methods
2,90,1,1,1,1.00,100.00
27,66,1,1,1,1.00,100.00
10,66,1,1,1,1.00,100.00
21,87,1,1,1,1.00,100.00
28,90,1,1,1,1.00,100.00
6,66,1,1,1,1.00,100.00
8,90,1,1,1,1.00,100.00
4,85,1,1,1,1.00,100.00
9,95,1,1,1,1.00,100.00
35,90,1,1,0.9,0.97,96.67
29,87,1,1,0.9,0.97,96.67
13,80,1,1,0.9,0.97,96.67
19,66,1,1,0.8,0.93,93.33
30,66,1,0.8,1,0.93,93.33
20,66,1,1,0.8,0.93,93.33
12,90,1,0.8,1,0.93,93.33
18,75,1,0.8,1,0.93,93.33
25,87,0.7,1,1,0.90,90.00
7,66,0.7,1,0.9,0.87,86.67
36,80,1,0.8,0.8,0.87,86.67
11,66,1,1,0.6,0.87,86.67
5,70,1,1,0.6,0.87,86.67
14,66,1,0.8,0.8,0.87,86.67
24,66,0.7,0.8,1,0.83,83.33
33,0,1,1,0.5,0.83,83.33
31,66,1,0.8,0.6,0.80,80.00
17,20,0.7,1,0.6,0.77,76.67
23,66,1,0.5,0.8,0.77,76.67
22,66,0.7,1,0.5,0.73,73.33
26,66,1,0.5,0.6,0.70,70.00
15,66,0.7,0.8,0.5,0.67,66.67
34,66,0.5,0.5,0.5,0.50,66.00
16,66,0.5,0.7,0.6,0.60,66.00
1,0,0,0,0,0.00,0.00
3,0,0,0,0,0.00,0.00
32,0,0,0,0,0.00,0.00
