student_id,student_full_name,student_net_id,submission_id,c1,c2,c3,c_product,pd_1_songs,pd_2_plays,pd_3_thumbs,pd_4_skips,pd_5_listeners,pd_6_accounts,pd_sum,pd_max,da_1a,da_1b,da_2a,da_2b,da_3a,da_3b,da_4a,da_4b,da_5a,da_5b,da_5c,da_6a,da_6b,da_6c,da_7a,da_7b,da_7c,da_sum,da_max,raw_first_two_section_score,raw_three_section_score,sql_feedback
27,#REDACTED,#REDACTED,31,1,1,1,40.00%,1.1,1,1.3,1,1,1.1,32.70%,30.00%,1,1,1,1,0.6,0.5,0.6,0.8,0.6,0.8,0.7,0.5,0.8,0.7,0.5,0.5,0.7,0.3405,0.3,100.00%,100.00%,practice join syntax;
12,#REDACTED,#REDACTED,7,1,1,1,40.00%,1,1.1,1,1,0.8,1,29.70%,29.70%,1,0.6,0.7,0.7,0.6,0.6,0.8,0.8,0.6,0.5,0.4,1,0.4,0.3,0.6,0.7,0.4,0.297,0.297,99.57%,99.40%,practice selections; practice join syntax - use the ON keyword to introduce the join condition
29,#REDACTED,#REDACTED,11,0.9,1,1,38.40%,1.1,1,1,1,1,1.1,30.90%,30.00%,1,0.8,0.9,0.9,0.4,0.5,0.3,0.5,1,0.6,0.6,0.8,0.6,0.7,0.3,0.2,0.7,0.303,0.3,97.71%,98.40%,practice ordering and selections
23,#REDACTED,#REDACTED,6,1,1,1,40.00%,1,1,1,1,1,0.5,27.75%,27.75%,1,1,0.7,0.7,0.7,0.6,0.9,0.9,1,1,0.8,0.9,0.5,0.6,0.7,0.7,0.4,0.3675,0.3,96.79%,97.75%,practice counting distinct - move the DISTINCT keyword into the SELECT clause; practice limiting
17,#REDACTED,#REDACTED,16,1,1,0.8,37.60%,1,0.8,1.3,1,1.1,1,31.05%,30.00%,1,0.8,0.5,0.5,0.3,0.5,0.9,0.5,1,1,1,1,0.3,0.3,0.3,0.4,0.7,0.303,0.3,96.57%,97.60%,practice grouping and ordering
6,#REDACTED,#REDACTED,32,1,1,1,40.00%,1,0.9,1,1,1,0.5,27.15%,27.15%,1,0.5,0.8,0.8,1,0.6,0.9,0.6,0.6,0.6,0,0.5,0.5,0.6,0.6,0.6,0.6,0.291,0.291,95.93%,96.25%,practice selections
20,#REDACTED,#REDACTED,3,1,1,1,40.00%,1.3,1,1.2,1,1,0.6,30.75%,30.00%,1,0.5,0.5,0.5,0.5,0.3,0.9,0.4,0.9,0.9,0.8,0.3,0.3,0.3,0.6,0.6,0.4,0.2595,0.2595,100.00%,95.95%,practice grouping and aggregating and selecting and limiting; know when to use outer joins
4,#REDACTED,#REDACTED,34,1,1,0.7,36.40%,1,0.9,1,1,1,1,29.40%,29.40%,1,1,0.3,1,1,0.6,1,0.6,0.8,0.8,0.8,0.3,0.5,0.5,0.3,0.5,0.4,0.3105,0.3,94.00%,95.80%,practice selections and grouping
7,#REDACTED,#REDACTED,29,1,1,1,40.00%,1,1,1,1,1,0.5,27.75%,27.75%,1,0.8,0.7,0.7,0.6,0.4,0.8,0.4,1,0.6,0.6,0.4,0.9,0.6,0.3,0.2,0.4,0.279,0.279,96.79%,95.65%,"study query structure and composition; learn when to use outer joins; look for a single-query answer before turning to sub-queries; if you are going to use a subquery, use the proper structure and parenthesis placement;"
24,#REDACTED,#REDACTED,25,1,1,1,40.00%,1,1,1,1,1,1,30.00%,30.00%,0.9,0.5,0.9,0.9,0.6,0.4,0.8,0.5,0.6,0.6,0.6,0.4,0.3,0.2,0.2,0.4,0.6,0.2445,0.2445,100.00%,94.45%,"use one semicolon per query, at the end, if using one at all; practice aggregations; study outer joins;"
36,#REDACTED,#REDACTED,36,1,0.5,1,34.00%,1.1,1,1.3,1,0.7,1.1,31.35%,30.00%,1,1,0.7,0.7,0.6,0.7,0.6,0,0.7,0.7,0.7,0.9,0.4,0.3,0.6,0.4,0.4,0.2835,0.2835,91.43%,92.35%,practice join syntax; know when to use HAVING instead of WHERE;
21,#REDACTED,#REDACTED,19,1,1,0.3,31.60%,1.1,1,1.3,1,1.1,1.1,33.15%,30.00%,1,0.5,0.3,0.3,1,1,1,1,1,0.9,0.6,0.7,0.5,0.3,0.3,0.7,0.5,0.339,0.3,88.00%,91.60%,practice selections
13,#REDACTED,#REDACTED,4,1,1,0.8,37.60%,0.6,0.7,1,1,1.1,1.1,27.30%,27.30%,1,0.7,0.8,0.8,0.8,0.6,0.9,0.6,1,1,0,0.5,0.5,0,0.3,0.4,0,0.264,0.264,92.71%,91.30%,practice selections
5,#REDACTED,#REDACTED,8,1,1,1,40.00%,1.1,1,1,1,1.1,1,30.90%,30.00%,0.7,0.5,0.2,0.2,0.3,0.5,1,0.5,0.8,0.6,0.6,0.3,0.3,0,0.3,0.4,0.4,0.207,0.207,100.00%,90.70%,practice filtering and ordering and aggregating
